Date,Close,High,Low,Open,Volume
2026-03-26,202.0,210.0,202.0,210.0,5792400
2026-03-27,202.0,206.0,200.0,204.0,1736900
2026-03-30,202.0,204.0,199.0,200.0,2540600
2026-03-31,200.0,204.0,200.0,202.0,1270300
2026-04-01,202.0,204.0,200.0,202.0,2884500
2026-04-02,200.0,204.0,199.0,202.0,1643200
2026-04-06,200.0,200.0,199.0,200.0,573200
2026-04-07,196.0,200.0,194.0,200.0,3170800
2026-04-08,199.0,199.0,195.0,196.0,1795000
2026-04-09,198.0,199.0,197.0,199.0,540200
2026-04-10,198.0,200.0,196.0,200.0,1217200
2026-04-13,197.0,199.0,195.0,198.0,2114200
2026-04-14,198.0,199.0,196.0,199.0,1516700
2026-04-15,198.0,199.0,197.0,198.0,2768500
2026-04-16,202.0,202.0,198.0,199.0,2231600
2026-04-17,202.0,202.0,200.0,202.0,776300
2026-04-20,199.0,204.0,199.0,202.0,2033600
2026-04-21,202.0,202.0,199.0,202.0,898500
2026-04-22,202.0,204.0,199.0,204.0,1421400
2026-04-23,197.0,204.0,194.0,204.0,3620000
2026-04-24,194.0,199.0,194.0,199.0,1437600
2026-04-27,196.0,196.0,190.0,196.0,1259200
2026-04-28,195.0,197.0,194.0,196.0,742000
2026-04-29,197.0,198.0,194.0,196.0,1212900
2026-04-30,192.0,198.0,191.0,198.0,2480600
2026-05-04,193.0,196.0,192.0,192.0,779000
2026-05-05,189.0,193.0,187.0,192.0,2599000
2026-05-06,190.0,192.0,188.0,190.0,1626700
2026-05-07,191.0,191.0,189.0,189.0,917300
2026-05-08,188.0,192.0,188.0,192.0,1756400
2026-05-11,187.0,189.0,185.0,188.0,1372400
2026-05-12,185.0,188.0,184.0,187.0,1149900
2026-05-13,186.0,187.0,183.0,185.0,693500
2026-05-14,186.0,186.0,186.0,186.0,0
2026-05-15,186.0,186.0,186.0,186.0,0
2026-05-18,181.0,186.0,179.0,186.0,1998600
2026-05-19,178.0,184.0,177.0,181.0,2827400
2026-05-20,178.0,180.0,176.0,178.0,877800
2026-05-21,176.0,178.0,174.0,178.0,2752400
2026-05-22,176.0,178.0,173.0,177.0,525900
2026-05-25,179.0,179.0,175.0,176.0,259000
2026-05-26,176.0,179.0,176.0,179.0,421000
2026-05-27,176.0,176.0,176.0,176.0,0
2026-05-28,176.0,176.0,176.0,176.0,0
2026-05-29,174.0,176.0,173.0,175.0,573200
2026-06-02,173.0,177.0,173.0,174.0,519500
2026-06-03,167.0,177.0,165.0,175.0,2610800
2026-06-04,160.0,164.0,153.0,153.0,1240000
2026-06-05,155.0,166.0,151.0,160.0,576000
2026-06-08,145.0,155.0,140.0,155.0,669600
2026-06-09,154.0,159.0,146.0,146.0,907600
2026-06-10,163.0,172.0,153.0,154.0,1650300
2026-06-11,172.0,180.0,163.0,170.0,1984600
2026-06-12,176.0,189.0,172.0,172.0,1127000
2026-06-15,176.0,177.0,173.0,175.0,342200
2026-06-17,178.0,180.0,175.0,176.0,426600
2026-06-18,175.0,178.0,173.0,178.0,430700
2026-06-19,192.0,196.0,175.0,177.0,2922600
2026-06-22,180.0,190.0,179.0,190.0,936300
2026-06-23,174.0,184.0,172.0,180.0,505100
2026-06-24,174.0,181.0,174.0,177.0,311100
2026-06-25,179.0,184.0,174.0,175.0,237600
2026-06-26,175.0,180.0,173.0,180.0,217500
2026-06-29,171.0,177.0,170.0,174.0,333700
2026-06-30,167.0,171.0,165.0,171.0,177400
2026-07-01,168.0,175.0,166.0,167.0,169200
2026-07-02,169.0,171.0,166.0,168.0,134300
2026-07-03,171.0,178.0,168.0,170.0,328200
